regal_code,year_month,time,status
11440,202201,2023-05-07 13:36:59,success
11440,202202,2023-05-07 13:37:00,success
11440,202203,2023-05-07 13:37:01,success
11440,202204,2023-05-07 13:37:02,success
11440,202205,2023-05-07 13:37:04,success
11440,202206,2023-05-07 13:37:05,success
11440,202207,2023-05-07 13:37:06,success
11440,202208,2023-05-07 13:37:07,success
11440,202209,2023-05-07 13:37:08,success
11440,202210,2023-05-07 13:37:10,success
11440,202211,2023-05-07 13:37:11,success
11440,202212,2023-05-07 13:37:12,success
11470,202001,2023-05-07 13:37:13,success
11470,202002,2023-05-07 13:37:15,success
11470,202003,2023-05-07 13:37:16,success
11470,202004,2023-05-07 13:37:17,success
11470,202005,2023-05-07 13:37:18,success
11470,202006,2023-05-07 13:37:20,success
11470,202007,2023-05-07 13:37:21,success
11470,202008,2023-05-07 13:37:22,success
11470,202009,2023-05-07 13:37:23,success
11470,202010,2023-05-07 13:37:24,success
11470,202011,2023-05-07 13:37:26,success
11470,202012,2023-05-07 13:37:27,success
11470,202101,2023-05-07 13:37:28,success
11470,202102,2023-05-07 13:37:29,success
11470,202103,2023-05-07 13:37:31,success
11470,202104,2023-05-07 13:37:32,success
11470,202105,2023-05-07 13:37:33,success
11470,202106,2023-05-07 13:37:34,success
11470,202107,2023-05-07 13:37:36,success
11470,202108,2023-05-07 13:37:37,success
11470,202109,2023-05-07 13:37:38,success
11470,202110,2023-05-07 13:37:39,success
11470,202111,2023-05-07 13:37:41,success
11470,202112,2023-05-07 13:37:42,success
11470,202201,2023-05-07 13:37:43,success
11470,202202,2023-05-07 13:37:44,success
11470,202203,2023-05-07 13:37:45,success
11470,202204,2023-05-07 13:37:47,success
11470,202205,2023-05-07 13:37:48,success
11470,202206,2023-05-07 13:37:49,success
11470,202207,2023-05-07 13:37:50,success
11470,202208,2023-05-07 13:37:51,success
11470,202209,2023-05-07 13:37:53,success
11470,202210,2023-05-07 13:37:54,success
11470,202211,2023-05-07 13:37:55,success
11470,202212,2023-05-07 13:37:56,success
11500,202001,2023-05-07 13:37:57,success
11500,202002,2023-05-07 13:37:59,success
11500,202003,2023-05-07 13:38:00,success
11500,202004,2023-05-07 13:38:01,success
11500,202005,2023-05-07 13:38:02,success
11500,202006,2023-05-07 13:38:04,success
11500,202007,2023-05-07 13:38:05,success
11500,202008,2023-05-07 13:38:06,success
11500,202009,2023-05-07 13:38:07,success
11500,202010,2023-05-07 13:38:08,success
11500,202011,2023-05-07 13:38:10,success
11500,202012,2023-05-07 13:38:11,success
11500,202101,2023-05-07 13:38:12,success
11500,202102,2023-05-07 13:38:13,success
11500,202103,2023-05-07 13:38:15,success
11500,202104,2023-05-07 13:38:16,success
11500,202105,2023-05-07 13:38:17,success
11500,202106,2023-05-07 13:38:18,success
11500,202107,2023-05-07 13:38:19,success
11500,202108,2023-05-07 13:38:21,success
11500,202109,2023-05-07 13:38:22,success
